1	The "All of Us" Research Program	Accession 	Number	New England Journal of Medicine
5080	SurgiCal Obesity Treatment Study (SCOTS): protocol for a national prospective cohort study of patients undergoing bariatric surgery in Scotland	Accession 	Number	BMJ Open
5081	Retrospective Association Analysis of Longitudinal Binary Traits Identifies Important Loci and Pathways in Cocaine Use	Accession 	Number	Genetics
5082	Suctioning and length of stay in infants hospitalized with bronchiolitis	Accession 	Number	JAMA Pediatr
5083	The Risk of Dupuytren Diagnosis in Obese Individuals	Accession 	Number	Journal of Hand Surgery
5084	Extraneural perineurioma: CT and MRI imaging characteristics	Accession 	Number	Skeletal Radiology
5085	Osteoarthritis in veterans undergoing bariatric surgery is associated with decreased excess weight loss: 5-year outcomes	Accession 	Number	Surgery for Obesity and Related Diseases
5086	Assessment of Clinical Criteria for Sepsis: For the Third International Consensus Definitions for Sepsis and Septic Shock (Sepsis-3)	Accession 	Number	JAMA
5087	Factors associated with anesthetic-related death in dogs and cats in primary care veterinary hospitals	Accession 	Number	Journal of the American Veterinary Medical Association
5088	Association of albumin and cholesterol levels with incidence of hypoglycaemia in people admitted to general internal medicine units	Accession 	Number	Diabetic Medicine
5089	Efficient linking of birth certificate and newborn screening databases for laboratory investigation of congenital cytomegalovirus infection and preterm birth: Florida, 2008	Accession 	Number	Matern Child Health J
5090	The occurrence of warfarin-related nephropathy and effects on renal and patient outcomes in korean patients	Accession 	Number	PloS One
5091	Real-world evidence studies into treatment adherence, thresholds for intervention and disparities in treatment in people with type 2 diabetes in the UK	Accession 	Number	BMJ Open
5092	Characterization of chronic and acute ESA hyporesponse: a retrospective cohort study of hemodialysis patients	Accession 	Number	BMC Nephrology
5093	Rituximab for remission induction and maintenance in refractory granulomatosis with polyangiitis (Wegener's): ten-year experience at a single center	Accession 	Number	Arthritis and Rheumatism
5094	The impact of HMG-CoA reductase therapy on serum PSA	Accession 	Number	Prostate
5095	New oral anticoagulants-TURKey (NOAC-TURK): Multicenter cross-sectional study	Accession 	Number	Anatol J Cardiol
5096	Injury patterns in obese versus nonobese children presenting to a pediatric emergency department	Accession 	Number	Pediatrics
5097	Chronic obstructive pulmonary disease exacerbation: A single-center perspective on hospital readmissions	Accession 	Number	Postgraduate Medicine
5098	Epidemiology and Detrimental Impact of Opioid Use in Patients Undergoing Arthroscopic Treatment of Femoroacetabular Impingement Syndrome	Accession 	Number	Arthroscopy
5099	Immunity to hepatitis A virus among working professionals in Poland - Results of a 3-year serological survey 2013-2015	Accession 	Number	Annals of Agricultural and Environmental Medicine
5100	The association between medical comorbidity and Healthcare Effectiveness Data and Information Set (HEDIS) measures of treatment initiation and engagement for alcohol and other drug use disorders	Accession 	Number	Substance Abuse
5101	Are inner-city children with asthma receiving specialty care as recommended in national asthma guidelines?	Accession 	Number	Journal of Asthma
5102	Influence of transportation cost on long-term retention in clinic for HIV patients in rural Haiti	Accession 	Number	Journal of Acquired Immune Deficiency Syndromes
5103	Predictors of well child care adherence over time in a cohort of urban Medicaid-eligible infants	Accession 	Number	BMC Pediatrics
5104	Analysis of 2019 Patients Undergoing Revision Anterior Cruciate Ligament Reconstruction From a Community-Based Registry	Accession 	Number	American Journal of Sports Medicine
5105	Mortality following benign sacral insufficiency fracture and associated risk factors	Accession 	Number	Arch Osteoporos
5106	Predictors of active cancer thromboembolic outcomes: mortality associated with calf deep vein thrombosis	Accession 	Number	International Angiology
5107	Do case-only designs yield consistent results across design and different databases? A case study of hip fractures and benzodiazepines	Accession 	Number	Pharmacoepidemiology and Drug Safety
5108	Impact of Paliperidone Palmitate Versus Oral Atypical Antipsychotics on Health Care Resource Use and Costs in Veterans with Schizophrenia	Accession 	Number	Journal of Clinical Psychiatry
5109	The association between oral health literacy and missed dental appointments	Accession 	Number	Journal of the American Dental Association
5110	Statin-related aminotransferase elevation according to baseline aminotransferases level in real practice in Korea	Accession 	Number	Journal of Clinical Pharmacy and Therapeutics
5111	Sustained Reduction in Health Disparities Achieved through Targeted Quality Improvement: One-Year Follow-up on a Three-Year Intervention	Accession 	Number	Health Services Research
5112	Risk factors for veterinary hospital environmental contamination with Salmonella enterica	Accession 	Number	Epidemiology and Infection
5113	Clinical and economic burden of dyspnea and other COPD symptoms in a managed care setting	Accession 	Number	International Journal of Chronic Obstructive Pulmonary Disease
5114	Post-Acute Care Facility as a Discharge Destination for Patients in Need of Palliative Care in Brazil	Accession 	Number	American Journal of Hospice and Palliative Care
5115	Association of Chronic Kidney Disease With Allopurinol Use in Gout Treatment	Accession 	Number	JAMA Intern Med
5116	Associations between prescribing nonsteroidal anti-inflammatory drugs and the potential prescription-related problems in a primary care setting	Accession 	Number	International Journal of Clinical Pharmacology and Therapeutics
5117	Integrating Behavioral Health and Primary Care: Consulting, Coordinating and Collaborating Among Professionals	Accession 	Number	Journal of the American Board of Family Medicine
5118	Significant changes in emergency department length of stay and case mix over eight years at a large Swedish University Hospital	Accession 	Number	International Emergency Nursing
5119	Care plan program reduces the number of visits for challenging psychiatric patients in the ED	Accession 	Number	American Journal of Emergency Medicine
5120	External validation of the electronic Frailty Index using the population of Wales within the Secure Anonymised Information Linkage Databank	Accession 	Number	Age and Ageing
5121	Patient, Radiologist, and Examination Characteristics Affecting Screening Mammography Recall Rates in a Large Academic Practice	Accession 	Number	J Am Coll Radiol
5122	Predictors of acute kidney injury after coronary artery surgery in Jordanians	Accession 	Number	Asian Cardiovascular & Thoracic Annals
5123	Feasibility study for the use of self-collected nasal swabs to identify pathogens among participants of a population-based surveillance system for acute respiratory infections (GrippeWeb-Plus)-Germany, 2016	Accession 	Number	Influenza Other Respir Viruses
5124	Iran Pituitary Tumor Registry: Description of the Program and Initial Results	Accession 	Number	Archives of Iranian Medicine
5125	Following Uninsured Patients Through Medicaid Expansion: Ambulatory Care Use and Diagnosed Conditions	Accession 	Number	Annals of Family Medicine
5126	Evaluation of factors related to glycaemic control among South Korean patients with type 2 diabetes	Accession 	Number	International Journal of Nursing Practice
5127	Cryoprecipitate indications and patterns of use in the pediatric intensive care unit: inappropriate transfusions and lack of standardization	Accession 	Number	Transfusion
5128	Replacing the Guaiac Fecal Occult Blood Test With the Fecal Immunochemical Test Increases Proportion of Individuals Screened in a Large Healthcare Setting	Accession 	Number	Clinical Gastroenterology and Hepatology
5129	Evaluating the feasibility of the KDIGO CKD referral recommendations	Accession 	Number	BMC Nephrology
5130	Intrapartum magnesium sulfate and the potential for cardiopulmonary drug-drug interactions	Accession 	Number	Therapeutic Drug Monitoring
5131	Accuracy of Cardiovascular Risk Prediction Varies by Neighborhood Socioeconomic Position: A Retrospective Cohort Study	Accession 	Number	Annals of Internal Medicine
5132	Barriers and outcomes associated with unfulfilled requests for permanent contraception following vaginal delivery	Accession 	Number	Contraception
5133	Association of Rising Violent Crime With Blood Pressure and Cardiovascular Risk: Longitudinal Evidence From Chicago, 2014-2016	Accession 	Number	American Journal of Hypertension
5134	Retrospective case review of missed opportunities for primary prevention of stroke and TIA in primary care: protocol paper	Accession 	Number	BMJ Open
5135	A randomized pragmatic clinical trial of gestational diabetes screening (ScreenR2GDM): Study design, baseline characteristics, and protocol adherence	Accession 	Number	Contemporary Clinical Trials
5136	Pain-related distress among patients referred to a community-based palliative care program	Accession 	Number	Palliat Support Care
5137	Neutrophil-lymphocyte ratio is a marker of survival and cardiac complications rather than patency following revascularization of lower extremities	Accession 	Number	Vascular Medicine
